llm_variant,Aprendizaje / ML,Exacto,Heurística constructiva,Híbrido / Matheurística,Metaheurística,No especificado,Survey / Teórico / Modelado,TOTAL
Estocástico / Incierto,0,1,0,4,23,1,1,30
Otra variante,1,5,2,1,2,4,3,18
CARP clásico,3,6,3,0,4,0,0,16
Dinámico / Time-dependent,0,1,0,2,6,2,4,15
Multi-depósito,1,2,0,5,2,2,0,12
Periódico (PCARP),0,0,0,2,2,1,0,5
Min-max / Balanceado,0,1,0,0,3,1,0,5
No es CARP (RPP/CPP/otro),1,3,0,0,1,0,0,5
Prize-collecting / Profitable,0,1,0,0,3,1,0,5
Large-scale,0,1,0,0,3,0,0,4
Green / Eléctrico,0,0,0,0,1,1,1,3
Abierto (OCARP),0,1,0,1,0,0,0,2
Con ventanas de tiempo (CARPTW),0,1,0,0,1,0,0,2
Con instalaciones intermedias (CLARPIF),0,1,0,0,0,1,0,2
Multi-objetivo,0,1,0,1,0,0,0,2
Mixto (MCARP),0,0,0,1,0,0,0,1
Split-delivery,0,1,0,0,0,0,0,1
Windy (WARP),0,0,0,1,0,0,0,1
